ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10
596.91,103.87,55.5,363.17,31.61,732.18,893.98,257.36,774.08,471.47
633.51,626.67,251.57,23.47,914.72,496.72,292.45,564.01,543.84,923.18
477.23,31.4,475.2,361.25,180.6,263.02,216.37,660.06,967.43,52.14
718.22,482.37,572.5,206.11,912.28,91.83,672.23,760.42,527.51,124.28
600.41,925.51,425.49,734.97,127.51,164.8,615.39,803.18,609.93,463.3
300.5,231.13,876.42,114.96,329.13,916.86,475.44,590.07,939.7,648.81
933.97,699.63,897.99,870.11,150.37,975.55,747.31,362.59,411.42,698.58
194.41,996.88,216.85,993.13,49.62,183.89,511.36,286.61,276.94,514.82
854.28,761.12,340.21,98.06,372.17,209.85,893.77,912.66,233.86,149.4
327.41,187.62,855.92,923.95,892.37,579.4,590.6,796.09,222.85,608.21
445.85,108.78,42.74,535.34,319.52,343.53,137.52,391.28,666.42,361.71
275.26,65.41,214.56,850.33,78.31,253.54,204.07,862.03,27.81,317.95
604.05,502.84,863.87,73.96,747.5,903.47,81.79,179.25,658.17,733.47
992.25,911.82,581.71,344.58,310.52,768.01,881.36,178.1,422.34,713.05
813.22,836.61,248.15,371.47,762.0,905.28,829.18,570.64,861.15,146.22
536.85,597.29,877.47,483.83,331.33,160.37,975.04,107.69,297.81,686.62
550.84,491.69,743.99,698.67,272.56,128.54,155.06,662.95,237.89,796.76
912.52,355.21,715.03,61.25,388.19,932.74,160.54,465.28,11.05,350.33
712.8,258.41,901.51,345.34,361.74,87.22,363.46,632.36,190.27,320.28
426.26,701.55,417.18,570.69,810.53,536.95,825.8,150.76,235.48,156.51
880.9,399.66,893.14,732.28,45.65,70.2,74.63,758.28,298.35,512.93
662.69,386.67,740.14,215.66,812.96,509.54,678.23,211.35,529.73,21.5
447.28,185.81,612.82,661.07,110.59,424.28,585.44,170.25,585.94,624.08
762.94,609.33,993.19,46.42,139.15,558.74,323.31,516.64,508.66,478.71
489.13,333.51,81.91,430.05,516.02,976.91,247.96,851.24,643.16,109.16
867.65,227.48,185.33,830.31,720.26,909.03,138.07,178.93,89.41,262.14
910.52,52.3,744.14,603.61,868.79,842.34,99.98,832.58,571.06,211.18
318.65,747.36,19.29,411.12,61.59,205.92,580.65,617.92,380.5,105.08
140.69,827.02,814.05,475.3,852.56,461.35,370.56,326.67,936.91,742.84
737.35,520.52,855.81,911.53,334.04,389.21,594.79,247.42,904.27,856.42
866.55,326.55,906.48,666.46,848.06,528.99,799.89,331.17,763.93,793.66
117.91,482.89,674.25,386.61,804.71,308.24,499.22,936.71,893.45,929.84
614.42,997.77,213.15,207.02,738.52,73.8,969.82,863.31,139.32,246.22
289.77,316.46,331.41,541.58,11.93,191.9,468.29,471.13,549.85,82.53
965.35,701.84,221.83,756.23,421.86,103.87,677.47,281.29,857.1,866.43
946.19,807.4,474.72,737.26,685.07,733.25,768.43,240.65,955.52,473.72
239.72,319.33,824.92,29.68,132.0,812.51,77.5,740.16,941.29,322.23
298.2,235.97,217.1,775.97,422.46,187.26,61.92,913.97,582.68,809.79
406.22,813.27,597.9,110.21,954.02,205.44,703.31,104.62,698.51,409.24
648.86,120.28,17.29,408.46,701.04,898.07,209.09,60.4,532.5,748.68
775.83,995.77,179.65,959.02,689.88,782.65,302.54,567.17,986.34,911.95
198.1,433.99,722.04,946.35,867.63,83.13,415.7,410.18,174.5,553.07
625.83,269.23,708.55,126.69,462.67,513.22,329.56,771.54,363.0,529.12
698.08,788.6,336.85,649.15,574.87,690.95,462.31,676.48,749.31,801.87
592.34,489.18,708.64,216.02,699.45,84.85,365.23,969.64,680.02,554.76
973.19,810.4,711.48,136.34,284.22,993.75,420.71,215.23,796.24,953.68
159.78,820.03,268.68,141.75,815.9,662.6,835.86,861.87,127.1,445.31
836.12,548.06,314.64,263.62,888.61,974.5,343.79,227.62,883.34,75.8
906.93,625.72,515.53,984.24,990.59,83.58,539.01,472.6,719.77,809.73
771.78,108.29,252.44,476.71,819.46,11.71,148.53,82.99,142.6,274.34
935.85,257.51,947.71,577.59,306.62,939.63,525.78,685.83,771.19,636.18
68.51,245.36,968.92,829.01,740.64,138.59,846.96,604.4,918.02,105.58
892.79,758.65,319.43,956.43,960.69,979.72,546.51,743.99,634.87,161.2
470.83,731.77,603.94,265.15,640.6,419.22,504.93,339.05,79.2,630.83
100.2,846.32,572.75,879.99,875.32,898.56,19.89,894.45,906.98,779.42
316.69,435.74,809.82,284.29,149.75,943.19,549.44,991.06,840.31,503.15
91.39,660.01,579.97,479.82,432.05,19.92,227.53,888.51,228.23,982.53
565.79,198.85,772.2,903.11,535.82,698.34,662.16,963.04,308.16,233.41
430.3,933.1,170.81,237.27,642.6,715.34,740.15,73.71,851.11,465.34
26.36,710.32,39.37,600.9,961.35,442.16,785.86,638.83,93.62,989.54
64.66,796.22,837.17,994.3,311.44,355.78,747.38,543.57,451.14,641.47
581.22,167.78,563.32,253.08,23.45,486.72,219.13,103.57,647.91,763.33
289.29,540.32,394.29,393.69,996.36,699.86,235.92,313.26,526.07,163.63
625.65,18.93,249.14,903.62,214.93,729.2,421.28,719.97,500.84,577.39
92.04,355.28,289.66,120.94,226.29,340.98,528.98,193.51,52.59,853.07
37.75,639.25,729.28,655.49,633.13,275.21,785.56,525.45,444.17,241.58
995.41,852.9,711.99,954.01,425.21,644.88,750.14,507.32,176.84,523.09
564.17,213.08,68.38,51.2,859.41,575.17,916.54,413.81,573.23,346.92
751.66,268.76,978.44,367.86,147.66,876.43,397.99,593.42,545.48,109.97
102.87,104.79,665.15,483.78,873.92,843.22,506.24,385.88,825.24,425.74
635.53,236.94,174.1,523.89,153.73,608.36,726.85,387.03,699.67,165.47
444.7,458.37,41.59,259.81,729.04,413.1,95.07,851.46,739.51,863.37
873.67,833.9,979.55,357.93,424.52,384.39,981.48,546.87,898.5,743.47
794.84,123.69,861.11,256.79,423.8,930.85,511.56,46.83,23.89,132.47
570.2,466.41,762.13,727.03,608.34,636.99,657.86,675.32,299.1,525.06
104.48,631.12,911.96,459.22,652.23,936.97,662.69,885.51,84.15,70.75
806.71,460.15,815.25,826.18,250.53,626.81,811.25,61.25,964.38,443.86
89.85,842.54,423.57,136.12,873.26,165.94,406.96,730.68,380.58,476.1
581.34,255.75,233.72,864.49,139.63,653.36,427.48,840.91,742.83,740.61
75.07,203.07,458.49,274.33,536.22,29.99,540.71,429.16,833.45,893.39
893.66,313.8,413.96,684.54,819.83,842.48,7.29,958.76,637.27,641.79
923.92,618.67,345.03,532.75,816.08,20.22,259.91,413.7,486.42,793.94
157.46,700.78,859.7,176.22,547.44,500.99,983.58,754.88,68.08,140.14
871.66,337.48,807.05,47.97,397.62,71.89,894.21,740.61,888.73,685.47
829.43,403.87,199.82,55.85,978.4,439.22,975.66,387.04,947.63,249.05
42.53,295.76,547.16,751.95,822.09,923.53,549.36,49.04,699.05,127.8
857.06,76.66,904.93,713.78,56.11,558.21,125.96,888.27,947.12,730.9
752.48,289.46,538.99,642.77,834.39,265.4,431.83,601.81,565.28,528.73
94.8,843.68,322.73,132.65,938.56,29.46,757.83,347.96,271.22,125.21
643.34,615.08,494.43,754.54,905.32,266.99,373.65,180.1,862.87,392.31
945.9,391.79,825.04,366.51,593.81,866.84,622.41,638.82,278.8,344.21
379.19,430.37,816.93,4.33,657.66,821.74,422.24,483.64,524.73,394.9
376.46,299.87,186.19,736.88,894.72,371.19,761.55,955.48,773.9,397.68
376.82,316.66,310.93,117.01,87.98,205.08,114.26,813.85,12.09,323.27
840.61,514.27,49.78,916.43,789.14,12.1,501.57,788.55,994.63,151.92
425.41,179.63,634.27,65.76,957.7,575.41,964.0,903.0,290.42,467.58
57.02,733.72,973.64,46.67,952.09,149.63,816.02,782.55,169.85,416.84
536.94,816.9,952.4,233.72,254.29,812.78,614.9,356.2,62.29,893.66
500.43,464.11,146.74,409.55,876.91,372.9,988.95,431.42,764.73,62.98
372.22,705.52,798.48,643.88,472.02,853.73,608.29,854.52,755.11,347.2
175.17,952.07,507.84,80.8,317.67,68.48,334.83,677.51,587.46,657.93
382.19,296.67,858.9,88.52,240.18,568.18,583.77,468.49,673.64,554.58
947.67,383.71,508.15,830.55,587.86,364.71,191.14,31.21,22.23,248.33
920.32,816.73,817.86,699.4,804.57,627.39,504.68,229.06,53.36,524.72
340.88,230.51,245.39,498.23,222.21,379.48,164.2,102.8,554.58,165.86
938.55,780.07,973.11,935.03,963.57,333.56,559.86,947.22,201.55,800.91
793.73,335.7,103.38,448.76,363.34,522.9,492.24,264.73,412.52,239.61
798.61,25.78,588.7,393.17,153.2,404.93,893.79,935.75,904.18,401.24
202.32,391.51,848.95,296.82,708.28,467.14,11.87,4.75,10.65,749.32
114.96,806.79,853.84,788.24,369.93,265.9,756.45,466.75,287.66,486.59
647.3,763.82,76.91,27.92,723.2,612.04,11.75,122.91,127.3,541.54
323.42,3.76,490.61,461.43,430.07,966.53,12.58,636.15,968.38,164.19
659.44,134.18,992.37,447.95,668.41,281.59,698.9,828.21,783.21,782.37
755.8,699.61,696.01,97.51,888.54,622.97,350.0,292.39,484.27,521.1
80.89,199.68,133.27,241.27,852.48,547.92,743.1,642.15,528.97,679.69
834.02,53.29,81.76,754.96,847.09,935.78,575.84,840.5,149.09,774.04
737.65,854.75,355.01,864.78,550.32,296.98,884.18,52.53,988.0,785.41
609.11,395.17,713.21,738.08,825.95,260.14,635.9,262.73,329.48,742.69
877.04,854.3,611.8,854.32,569.1,879.11,689.13,957.98,377.08,432.87
751.37,370.12,204.4,997.03,279.75,956.24,151.21,141.84,386.01,263.24
772.45,777.6,824.46,604.75,70.89,333.78,404.7,697.29,341.68,952.78
799.21,963.66,520.83,664.74,654.65,45.2,388.15,555.01,34.63,93.52
420.66,97.5,935.88,363.11,953.08,262.26,559.39,838.9,591.09,113.28
956.11,806.01,370.76,558.29,69.14,816.63,545.99,253.27,322.08,132.4
210.98,41.2,312.1,237.49,83.22,597.22,65.27,517.68,370.95,289.45
587.66,596.28,378.71,257.28,20.38,48.33,454.5,28.24,997.88,543.39
515.01,476.0,479.02,990.24,854.65,421.41,545.52,820.15,958.28,34.62
147.04,951.57,679.97,532.82,376.83,983.12,939.42,644.93,304.74,477.83
324.81,524.71,815.83,75.56,412.26,797.81,221.5,379.29,784.07,848.53
638.42,614.61,384.22,111.94,823.51,720.46,453.25,338.58,614.3,680.53
66.75,35.66,80.17,112.72,839.12,21.61,216.08,318.78,212.57,554.82
709.58,542.01,989.28,145.67,215.31,522.54,174.05,449.53,751.95,529.42
253.94,510.29,966.82,436.64,509.37,985.18,825.91,284.07,935.36,454.3
613.44,146.57,361.31,438.92,497.29,976.08,282.38,633.22,587.64,954.12
297.29,594.87,288.82,672.52,544.52,810.65,356.98,981.12,843.49,634.42
635.29,304.32,116.31,631.07,971.68,19.88,935.21,958.06,300.71,621.46
436.44,266.94,913.31,927.71,505.75,674.65,975.73,59.26,755.4,697.42
634.77,190.48,126.36,194.45,145.78,138.59,79.27,612.31,795.35,253.89
51.39,670.34,481.04,129.47,472.18,653.01,735.33,698.25,84.88,961.19
861.36,726.97,119.44,28.13,946.9,295.83,979.65,142.42,914.79,193.52
309.59,340.45,201.81,598.5,271.68,259.45,73.09,195.24,376.94,608.07
460.17,77.18,855.63,575.89,992.17,619.77,241.15,760.63,490.18,896.79
631.7,253.86,316.7,534.09,449.46,304.58,338.32,311.75,468.97,607.74
885.71,849.36,155.84,262.21,676.74,758.56,604.74,21.04,221.83,776.26
926.54,658.97,728.51,681.11,425.82,473.55,633.92,64.54,447.97,656.36
734.3,658.74,659.87,865.11,24.11,746.8,203.55,690.42,683.38,292.27
240.53,703.34,859.08,808.76,494.06,50.64,452.83,577.91,52.24,270.64
715.54,248.63,712.62,550.03,805.52,936.51,726.4,795.03,889.18,266.9
493.88,686.82,191.3,250.89,720.37,684.73,509.61,228.73,731.32,886.83
114.21,636.26,18.13,349.83,399.88,348.67,894.3,726.97,526.68,890.08
515.56,659.35,138.07,778.77,191.75,359.9,849.14,898.69,261.54,887.66
42.22,499.71,516.39,435.64,234.01,660.21,472.45,815.36,969.72,589.33
285.07,679.22,7.22,168.48,739.01,849.13,802.55,806.2,557.24,799.12
223.27,340.22,316.41,814.69,901.52,654.32,293.5,117.89,430.33,886.38
506.74,672.89,938.86,119.0,96.36,883.37,335.28,269.95,628.47,455.29
982.77,419.71,718.84,605.03,256.56,948.91,255.58,598.3,2.3,955.15
314.3,666.21,709.75,214.21,623.2,491.96,924.89,277.53,8.25,340.92
943.21,246.98,161.01,588.4,98.6,494.84,907.53,299.37,664.64,81.11
828.96,218.32,671.28,332.51,72.15,758.29,692.51,311.73,154.93,633.28
795.29,917.39,221.32,384.64,686.63,167.1,24.22,345.59,701.4,420.91
90.88,480.07,957.04,623.89,707.18,727.08,961.62,178.55,758.41,91.81
986.89,729.69,668.25,907.63,764.08,64.28,519.12,415.84,797.66,69.41
322.56,777.55,687.62,963.46,228.89,369.76,346.6,139.48,252.08,508.34
400.73,553.66,813.4,815.01,632.81,471.7,460.35,72.6,383.45,273.76
440.26,780.64,99.73,92.27,977.04,929.96,307.74,940.42,979.67,102.43
288.42,619.63,979.08,243.94,34.33,783.92,960.8,636.15,951.78,430.65
852.14,407.54,371.28,271.23,283.26,902.39,567.49,541.04,288.58,257.69
967.04,903.31,473.86,427.45,707.26,812.96,605.76,200.54,225.73,784.36
427.34,587.26,259.23,214.25,694.79,847.63,171.42,90.56,522.13,22.1
674.99,348.21,326.42,709.62,918.11,462.53,427.86,636.6,721.16,704.87
867.44,784.9,589.28,42.55,17.67,568.55,34.32,211.62,872.72,818.64
450.96,902.63,61.85,952.09,218.14,602.98,213.05,865.05,261.25,28.35
327.74,108.53,955.71,461.12,323.26,513.07,703.49,697.49,862.03,822.59
702.98,985.82,674.56,376.32,976.62,508.51,99.06,758.01,329.15,589.28
94.2,578.71,641.61,588.86,630.42,40.72,999.39,139.13,421.45,326.31
166.12,62.81,876.84,678.65,351.54,521.14,759.4,462.56,331.98,857.76
892.14,909.7,508.94,251.82,234.24,948.85,151.72,200.54,853.17,651.05
561.72,36.15,717.55,178.72,627.34,955.7,761.88,473.04,50.36,422.53
933.6,244.18,419.75,978.76,502.4,77.08,29.43,529.74,737.84,89.06
77.9,110.84,591.05,876.37,587.29,131.86,699.6,914.72,861.23,164.12
420.27,449.31,553.99,805.9,250.4,135.03,653.85,995.73,867.91,305.91
887.75,865.48,755.58,542.92,248.12,121.12,308.1,435.36,55.71,612.27
150.43,642.1,705.33,862.02,873.42,263.86,344.24,349.12,748.71,181.7
368.77,442.9,229.86,455.17,253.27,973.99,42.67,158.58,777.33,20.45
161.05,419.52,793.01,697.18,92.89,176.3,343.45,639.24,518.19,54.98
694.51,62.57,138.66,591.11,270.32,923.6,270.68,871.25,924.69,706.52
319.89,454.01,468.49,836.11,587.66,3.15,656.65,609.49,985.01,887.48
178.93,325.37,524.94,69.76,688.87,178.09,719.01,194.42,314.06,474.87
389.32,695.05,323.99,209.83,193.87,212.67,643.92,671.6,191.27,742.36
21.23,62.65,219.59,226.61,807.87,226.95,866.72,149.79,466.04,154.39
170.21,15.74,373.3,915.36,477.61,712.33,988.34,442.47,989.95,358.33
126.52,124.26,450.24,654.92,709.69,392.44,563.14,199.98,97.57,230.95
154.91,368.69,979.56,308.31,151.31,24.57,931.8,450.76,235.57,120.99
446.05,299.4,645.73,985.34,613.76,301.23,733.3,620.58,838.82,714.25
900.02,239.32,995.57,525.42,46.82,469.42,680.72,671.17,241.06,295.71
573.82,672.94,486.63,163.73,437.07,362.54,479.79,273.04,499.17,543.21
901.39,822.68,907.26,160.51,534.58,902.04,563.48,855.74,295.68,413.88
691.54,212.59,616.01,383.74,945.24,510.59,453.51,302.53,641.39,381.1
43.68,287.58,305.92,987.04,158.03,232.76,883.63,884.4,170.22,775.23
868.2,321.46,655.18,473.57,127.45,396.54,423.89,427.64,938.55,141.08
769.99,747.13,541.97,299.72,436.19,641.78,43.9,840.98,217.93,315.32
678.17,152.15,689.58,600.08,548.23,873.74,832.24,196.52,455.75,857.1
203.35,76.23,167.57,521.4,935.15,701.48,370.71,85.54,673.61,138.34
