ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR30,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR40,ATTR41,ATTR42,ATTR43,ATTR44,ATTR45,ATTR46,ATTR47,ATTR48,ATTR49,ATTR50
516.68,499.84,829.51,801.69,398.12,854.81,633.44,208.58,872.68,208.37,915.03,501.71,529.96,346.83,274.14,143.77,469.82,890.63,825.27,719.75,113.67,245.29,575.06,297.08,710.81,552.27,654.46,109.09,90.69,912.28,497.0,925.49,306.68,652.26,738.42,467.44,751.4,997.05,86.67,354.75,259.78,654.35,439.55,268.88,680.07,318.25,688.77,492.71,668.57,958.66
154.07,941.44,520.22,56.97,388.69,807.44,509.27,349.86,555.4,576.46,467.47,675.47,708.7,912.84,754.3,436.95,128.64,999.0,352.93,291.37,464.8,743.05,906.11,402.43,517.47,165.82,947.02,31.1,691.57,360.17,708.76,518.95,697.41,429.79,697.04,572.14,376.98,65.59,587.7,412.62,204.41,2.38,613.0,563.83,643.15,264.94,208.05,306.57,475.02,612.79
504.53,865.95,138.07,194.67,194.26,971.33,965.12,170.3,492.39,737.81,292.09,267.09,305.09,262.47,111.33,871.96,409.49,14.17,278.29,498.3,833.61,115.44,344.0,78.59,251.22,427.05,300.38,493.74,851.64,268.1,570.78,404.28,136.15,793.96,916.21,526.68,4.83,231.53,37.01,129.07,599.94,730.41,839.38,466.73,66.88,562.0,426.92,737.39,483.04,113.6
152.75,820.26,868.63,949.38,876.48,249.73,0.55,442.61,305.1,54.14,491.23,850.03,211.72,111.72,714.31,227.66,819.04,50.04,640.47,748.9,790.35,952.0,515.67,908.89,365.96,556.5,440.47,271.5,72.66,786.53,275.5,355.85,826.59,12.75,995.8,287.11,864.95,325.85,736.49,252.75,974.04,316.07,54.27,592.61,962.94,800.27,778.81,318.17,759.21,856.22
356.95,873.62,461.86,597.86,987.16,73.23,487.63,560.9,482.73,619.16,960.36,723.35,754.44,908.4,62.02,237.32,178.97,476.74,500.71,917.25,355.08,813.97,539.25,278.25,796.53,149.27,518.43,471.61,497.36,346.84,52.17,221.35,236.87,814.32,588.3,391.67,637.15,87.26,792.77,334.53,458.24,708.33,972.35,631.18,954.45,240.74,310.03,434.97,983.26,922.13
951.2,8.01,805.65,702.34,226.04,998.45,677.03,287.49,24.19,745.35,116.94,485.0,116.76,346.33,282.13,640.25,793.49,498.97,174.88,935.08,584.76,783.65,928.33,595.33,200.5,50.61,934.75,585.84,44.32,698.57,368.0,748.39,266.63,357.99,62.74,568.92,353.74,993.78,756.62,244.62,375.47,242.14,849.42,293.59,381.02,139.97,894.69,451.78,988.01,296.0
525.3,59.76,936.8,870.47,983.81,542.53,44.58,938.95,858.15,194.89,397.83,5.94,159.34,868.92,784.61,456.14,420.42,181.39,207.57,490.67,370.74,54.91,440.41,595.58,125.54,518.09,629.55,200.16,890.87,827.63,164.47,894.76,97.74,382.44,246.89,454.71,825.71,61.99,822.01,798.64,81.82,511.26,645.36,51.32,115.05,695.3,391.96,749.56,981.05,250.58
424.22,807.73,935.91,122.86,22.46,161.84,692.19,756.01,160.46,59.98,6.08,912.19,47.68,84.67,761.73,399.56,429.63,812.56,264.22,298.39,28.65,958.37,200.62,217.55,184.7,871.69,19.57,131.91,578.8,652.17,941.87,77.36,672.68,890.93,311.89,448.13,341.27,61.87,484.41,770.72,591.74,107.21,584.34,182.15,140.23,660.96,487.66,932.81,844.16,739.79
221.2,661.81,29.65,41.44,141.65,12.92,455.16,832.16,501.8,204.15,694.07,41.2,225.65,487.7,942.91,667.1,33.19,901.88,854.43,535.93,156.03,458.3,387.45,383.26,895.6,476.12,276.4,47.04,102.72,287.68,181.11,615.71,245.46,151.41,203.46,56.06,201.15,298.64,580.75,311.82,79.42,543.22,160.94,117.9,622.52,486.57,317.27,132.05,899.12,505.93
253.09,853.04,864.72,826.5,789.15,911.06,85.82,419.53,346.64,523.97,8.19,869.21,537.87,284.4,563.81,709.7,428.94,97.31,429.83,577.32,779.01,594.69,277.88,819.25,591.52,443.11,455.16,109.3,353.27,972.58,726.71,598.71,270.42,481.08,898.65,487.71,206.18,494.49,488.29,673.69,830.2,60.09,375.61,441.41,302.69,592.53,560.32,20.15,765.3,585.52
385.67,417.77,911.74,187.98,79.99,787.57,157.8,279.38,582.29,566.06,992.73,895.94,631.65,103.54,865.25,414.85,618.98,740.49,602.26,559.56,576.63,912.49,687.53,72.27,669.17,444.76,213.65,685.52,187.67,222.94,498.88,98.38,172.58,182.51,265.66,153.25,220.05,220.0,905.08,776.21,260.3,60.72,387.8,636.64,236.71,459.16,226.37,812.01,695.73,668.68
870.2,600.93,507.51,430.91,481.37,60.37,4.06,633.97,281.23,793.96,18.57,597.58,378.13,911.2,478.91,19.16,353.23,107.42,559.07,131.53,850.37,971.07,83.86,901.69,264.97,743.31,802.26,153.69,38.13,905.7,157.49,679.73,524.84,589.18,850.88,767.42,751.5,31.1,273.88,574.03,966.34,627.63,111.93,926.59,131.99,548.8,385.11,384.06,998.74,0.17
958.82,134.6,282.58,599.5,675.78,480.63,370.19,922.77,107.81,723.76,438.68,114.67,400.61,571.9,984.39,897.36,321.0,123.67,103.76,648.56,942.29,680.12,58.52,812.5,476.89,501.06,756.6,136.27,804.31,295.19,916.54,944.08,291.15,839.26,711.48,432.64,642.25,691.06,371.37,978.48,48.36,569.05,346.5,264.73,950.59,273.47,375.61,820.48,971.9,676.88
936.72,511.42,603.3,440.85,999.38,853.17,826.8,502.34,841.08,345.96,742.35,722.38,801.04,894.41,417.02,848.8,161.56,1.08,290.44,642.98,920.19,461.24,832.65,451.85,419.49,551.25,356.91,221.89,857.18,677.62,517.97,912.81,263.68,536.57,739.51,153.58,284.85,314.23,217.93,664.57,441.07,603.57,576.75,797.64,955.08,442.96,503.84,95.65,281.45,87.84
164.62,348.72,543.9,739.45,988.13,180.6,507.8,703.24,400.81,881.89,439.82,371.95,290.23,8.1,440.03,554.21,192.55,392.02,562.8,445.77,737.12,192.14,618.05,861.75,65.57,325.68,731.66,947.8,614.75,76.79,122.38,4.62,189.39,614.42,399.97,317.63,296.23,700.01,415.13,147.69,365.29,563.27,696.16,445.33,906.62,242.41,833.22,152.27,945.2,171.65
964.18,69.14,703.87,232.63,934.75,550.82,498.4,798.54,500.8,712.21,611.87,395.04,258.45,163.99,82.88,443.28,178.99,982.38,968.78,8.58,220.61,56.22,118.58,478.09,898.09,591.57,132.88,777.83,492.2,582.76,802.32,33.68,978.34,671.55,338.42,584.08,549.54,318.8,132.09,276.38,159.23,21.81,67.31,140.39,668.18,858.24,625.87,886.72,137.38,849.09
866.72,806.33,865.41,834.88,443.78,632.14,33.86,456.44,924.32,535.68,788.13,975.73,109.41,74.18,759.09,126.4,939.74,833.46,822.41,962.82,262.3,834.07,423.69,574.47,169.03,409.62,144.13,450.31,328.06,779.63,551.16,801.33,651.7,307.98,554.77,43.44,180.54,95.18,437.04,627.78,272.25,581.51,380.47,276.01,904.7,199.93,372.96,327.08,255.68,538.03
206.02,800.48,882.36,863.51,114.98,840.96,217.47,625.41,724.36,17.11,178.35,885.9,603.57,655.06,879.29,916.04,678.33,521.13,381.29,442.04,71.2,16.16,79.57,592.74,452.73,634.14,671.77,385.42,417.63,375.33,729.6,685.84,312.62,898.5,974.05,846.4,958.15,961.91,404.86,121.46,584.71,942.9,907.99,941.08,974.03,767.89,114.34,100.78,607.07,597.38
690.01,408.37,237.47,804.59,898.6,221.23,383.81,935.14,73.21,774.92,54.34,265.79,584.51,814.69,463.5,336.18,148.39,559.32,488.17,852.07,609.54,701.42,204.27,821.75,979.87,951.35,962.77,882.38,620.69,3.51,203.82,932.1,352.09,544.21,166.32,663.51,44.34,914.59,522.42,629.06,893.13,12.49,102.47,713.9,248.69,782.14,475.68,25.32,264.98,34.4
872.11,970.4,489.84,25.47,734.04,561.71,774.85,41.14,126.95,101.2,44.13,589.97,430.74,391.83,957.98,993.59,32.96,11.63,206.66,873.0,81.87,90.15,615.36,61.76,726.3,494.98,895.23,250.41,624.44,408.54,837.21,340.57,236.51,865.54,677.06,685.62,308.68,438.3,773.88,799.35,724.88,912.29,834.26,467.51,646.79,225.0,568.06,896.96,142.35,949.26
327.8,247.42,709.1,518.48,67.96,398.09,541.65,635.02,462.74,318.42,790.28,325.09,103.8,359.07,882.17,895.96,69.65,976.5,180.14,772.6,813.7,974.83,873.71,549.71,902.73,788.44,356.8,786.9,663.17,291.32,276.26,109.92,761.31,559.33,587.22,922.7,560.96,954.64,309.95,745.29,723.01,21.74,725.77,432.47,485.22,435.12,696.98,554.31,884.18,943.59
28.66,92.15,849.0,260.73,404.01,37.85,969.67,277.24,109.12,119.14,137.74,4.24,929.61,785.53,106.31,768.72,759.17,717.28,141.31,487.74,816.21,116.7,959.51,940.54,125.39,584.96,384.31,844.84,531.73,459.53,199.23,145.76,612.56,570.92,745.19,634.64,459.97,326.46,364.75,437.3,4.85,687.72,727.11,340.6,15.28,951.95,173.12,694.12,82.81,889.77
314.83,769.61,390.17,458.01,337.42,40.66,155.34,136.24,766.37,690.37,449.11,458.98,536.05,231.28,134.12,581.89,811.59,391.17,888.68,473.98,964.39,718.44,792.02,195.86,456.19,860.62,764.3,781.63,195.13,374.98,319.86,834.58,475.79,81.32,451.3,409.56,396.7,787.74,486.94,113.15,351.7,427.1,555.49,306.69,229.89,327.46,296.52,951.83,613.14,502.29
317.02,501.4,312.91,18.2,584.14,786.99,651.36,664.37,306.33,406.71,899.88,670.16,214.46,444.41,42.53,501.11,148.22,822.08,102.86,249.07,421.25,260.76,776.69,894.78,878.71,918.61,890.32,648.54,745.3,832.85,246.61,755.64,800.5,960.74,562.97,960.95,806.94,45.77,561.98,962.67,456.26,306.88,980.99,723.89,995.96,39.01,796.91,925.42,28.34,608.96
454.74,36.82,887.53,95.76,984.65,878.47,220.19,494.73,806.51,661.81,206.78,836.0,440.89,44.24,151.1,208.37,606.83,507.58,367.32,715.07,473.37,196.93,246.35,339.18,448.42,71.67,560.42,729.62,451.15,785.98,549.13,391.25,948.5,243.99,341.77,953.24,747.82,376.13,118.42,176.59,767.02,530.18,76.23,306.04,335.36,221.16,417.35,142.98,680.33,328.04
99.67,769.95,517.12,56.28,407.3,12.63,882.53,279.8,654.02,227.61,814.23,436.24,213.34,612.74,739.73,248.02,59.27,657.42,586.83,757.55,745.89,304.24,658.06,385.73,745.7,147.75,878.35,766.78,223.69,788.08,896.95,634.99,373.89,428.34,306.58,116.85,314.72,457.36,485.92,827.52,429.93,893.09,670.6,880.06,578.33,72.78,532.3,957.15,536.95,565.58
224.78,8.74,193.55,922.31,900.63,959.61,870.61,58.11,856.76,844.11,80.26,43.78,97.56,929.81,675.3,98.15,195.02,799.63,122.74,794.44,673.42,890.38,792.64,93.65,5.29,189.75,518.33,587.94,739.89,26.97,11.95,336.25,746.53,187.94,593.37,603.68,260.07,721.18,635.68,243.73,773.78,968.52,915.98,552.65,832.42,10.35,939.07,577.81,5.99,247.45
841.29,623.5,215.53,907.2,477.96,719.66,944.89,9.17,796.25,213.34,581.23,251.29,761.99,615.21,635.73,321.86,259.12,9.87,5.15,440.13,624.85,19.41,187.5,815.58,722.97,858.9,185.38,696.59,183.8,236.7,723.12,746.45,187.21,255.63,974.32,379.65,369.17,730.96,543.33,936.63,616.86,608.24,914.34,887.9,358.98,276.56,645.66,731.66,720.15,461.13
859.4,21.71,720.86,632.86,104.34,167.25,522.07,200.45,668.52,799.38,937.97,56.92,59.87,201.43,43.29,472.0,483.8,860.53,363.36,795.67,591.09,809.21,319.55,797.92,351.74,66.47,164.14,11.22,356.84,517.02,615.09,902.21,861.3,350.54,25.52,559.49,215.82,790.86,137.02,987.61,196.86,626.69,442.6,623.87,70.79,991.49,971.09,522.64,350.81,114.45
661.51,217.92,934.68,502.64,291.57,292.8,231.32,549.21,142.16,389.86,482.75,807.87,595.84,501.02,679.68,91.07,17.8,485.12,577.16,490.12,572.35,849.13,512.9,663.59,871.25,154.5,66.69,987.95,244.15,735.42,734.21,991.0,936.28,218.84,25.24,650.01,51.16,261.72,282.59,966.93,413.05,520.92,606.02,786.65,878.41,345.71,251.09,45.63,812.26,218.96
242.66,217.89,121.57,754.05,331.31,515.07,34.9,325.77,802.01,610.09,555.45,437.93,620.8,895.95,680.51,389.39,354.8,722.27,594.58,687.79,292.76,905.43,360.74,576.87,791.12,288.15,438.56,355.3,955.21,854.57,925.87,198.48,145.61,110.28,628.37,872.02,347.6,482.95,570.89,323.18,883.58,903.49,939.86,829.29,837.73,261.29,949.14,920.84,160.86,810.49
987.78,585.89,291.18,87.6,119.71,489.3,245.55,850.68,441.47,163.41,421.25,690.48,65.17,140.78,397.2,253.83,384.45,884.91,694.75,611.07,731.35,384.23,305.51,748.5,121.6,692.22,714.87,261.92,842.93,860.73,49.32,560.73,379.06,762.29,374.19,809.8,387.27,816.7,534.05,11.12,663.95,324.39,174.71,855.05,365.55,886.52,826.74,614.0,103.42,282.88
720.59,709.66,763.91,625.18,506.6,584.66,433.84,722.71,801.98,198.08,523.16,843.75,234.56,798.8,709.99,26.6,267.66,510.49,503.38,609.2,385.12,434.07,107.94,283.05,342.33,420.54,849.55,304.93,364.45,352.25,347.86,276.71,296.24,563.12,717.04,448.56,611.02,218.32,367.39,402.45,699.28,531.97,619.96,103.35,402.98,563.92,816.1,958.05,298.99,796.36
530.56,212.56,566.12,392.58,23.79,158.65,974.8,361.8,724.92,572.48,553.4,87.6,478.7,600.03,123.04,634.79,607.95,949.09,241.21,322.2,613.27,534.45,696.1,499.9,437.48,505.82,829.38,757.67,167.47,548.22,462.51,611.51,48.78,476.6,61.94,248.57,729.33,531.5,428.51,390.6,486.07,639.44,299.2,64.59,707.08,900.27,757.24,723.23,677.91,156.81
250.46,537.26,286.14,68.52,129.57,788.74,268.8,698.02,68.18,90.51,612.94,984.4,198.14,955.32,456.0,321.1,270.24,88.06,481.43,41.78,515.31,206.54,412.55,462.51,858.52,151.23,632.45,518.23,631.45,767.87,110.94,495.32,46.85,864.57,945.64,82.57,208.12,236.01,877.39,523.76,672.16,714.65,942.29,76.03,154.34,809.56,705.21,250.77,515.65,785.5
767.72,752.56,648.33,139.7,416.91,677.45,353.21,55.93,380.82,216.19,35.08,159.6,372.93,911.92,320.94,161.55,702.49,789.37,656.51,982.66,143.47,80.07,687.35,599.66,539.44,790.71,171.35,587.01,654.69,57.38,103.64,300.54,325.42,6.65,60.36,333.27,731.46,9.77,81.13,301.76,287.94,3.93,390.19,189.23,935.42,47.95,369.92,457.49,958.99,663.3
51.93,298.59,749.71,447.57,42.36,608.7,917.7,356.88,270.17,692.51,457.16,200.65,357.32,978.62,579.57,852.63,339.93,241.27,961.94,94.55,928.09,74.4,396.27,308.17,68.33,431.31,375.45,284.69,904.19,135.53,298.52,703.11,170.96,9.16,889.45,791.01,335.81,366.39,661.55,921.63,172.2,62.5,908.93,321.11,295.97,335.62,163.02,112.7,866.17,923.47
575.05,593.88,901.71,123.82,558.44,772.49,347.48,776.72,675.6,959.32,67.69,997.65,482.23,789.28,737.21,663.26,694.99,173.12,922.62,554.23,574.14,111.98,392.03,813.02,716.37,463.83,290.91,338.07,825.86,155.61,150.37,675.55,850.64,89.66,280.22,662.29,248.94,876.01,415.06,36.77,279.64,248.32,675.05,743.92,281.42,710.57,994.95,875.4,886.01,577.18
325.35,735.48,730.0,775.03,920.66,221.14,191.86,637.34,228.66,849.05,369.4,302.76,95.89,62.93,746.6,797.95,978.36,870.66,671.98,583.06,419.16,378.02,565.2,677.59,575.94,719.51,634.91,306.52,828.21,370.77,118.6,206.78,866.84,788.64,85.31,32.95,457.34,90.56,307.74,938.12,991.09,639.44,934.26,622.11,415.25,287.95,491.56,187.42,643.67,335.49
444.99,17.69,481.68,301.6,663.5,248.08,999.98,1.27,67.32,734.67,681.18,224.07,626.42,799.72,7.88,96.18,865.33,140.23,715.64,698.46,462.4,897.5,999.26,370.4,153.25,929.28,836.68,398.25,916.59,640.68,289.46,447.3,203.34,400.38,499.78,386.58,396.93,328.07,319.54,181.98,853.43,785.96,398.83,629.69,286.01,206.91,417.1,806.15,541.09,769.38
932.04,101.71,899.02,631.69,167.72,561.92,599.88,512.72,200.24,358.66,974.6,3.02,805.51,402.12,168.78,505.14,222.5,743.12,942.9,505.75,631.86,737.81,943.03,413.96,434.61,283.36,738.57,351.78,205.89,676.01,627.47,762.12,647.61,230.36,456.08,714.53,148.9,287.05,347.62,408.7,600.6,651.3,812.86,360.61,779.24,138.24,826.36,720.13,283.99,945.5
404.22,127.36,733.03,824.96,594.09,986.08,918.66,404.06,530.05,365.48,902.67,14.67,487.03,311.0,703.65,738.41,864.85,776.44,141.85,690.05,725.64,8.07,308.39,894.99,262.19,644.78,413.59,196.07,121.25,896.12,255.53,800.47,363.29,73.66,521.3,409.06,953.89,502.09,184.81,838.56,450.85,116.62,738.18,95.16,960.47,505.86,727.8,453.0,769.66,169.07
362.96,563.84,65.66,330.47,354.16,780.55,523.49,585.21,102.65,386.01,107.99,838.37,925.1,768.83,112.78,930.8,928.87,645.57,169.76,760.83,186.3,387.45,88.74,4.23,175.57,913.6,608.77,861.65,128.8,41.68,729.0,782.7,379.46,342.56,902.12,2.69,8.14,576.5,829.33,115.92,89.0,501.44,512.84,446.48,843.42,744.36,334.51,703.57,944.34,364.2
392.77,31.54,324.91,322.23,597.41,698.59,4.85,151.37,670.8,402.6,89.94,242.89,628.4,740.04,87.34,366.68,383.95,242.95,739.87,196.46,749.83,741.48,611.73,58.74,931.59,4.46,632.34,490.21,353.63,911.11,283.96,552.87,5.1,254.64,940.59,642.87,850.71,28.83,909.15,796.23,576.63,876.39,21.04,323.36,525.75,360.06,343.18,41.08,624.7,187.71
189.45,371.29,526.26,238.29,995.78,314.48,441.03,346.05,788.86,822.03,362.32,829.2,608.49,284.1,114.86,851.65,284.59,581.61,538.2,633.15,361.35,631.51,79.54,73.34,343.25,146.78,621.48,189.12,365.87,71.15,630.94,502.87,353.64,465.34,502.64,150.35,164.47,659.36,583.61,929.52,248.27,625.55,721.38,517.01,545.49,65.92,529.24,530.89,832.18,217.94
686.83,206.02,711.36,625.01,723.81,950.1,412.28,518.4,866.47,840.99,271.76,269.57,532.93,283.09,567.12,91.94,506.67,701.18,546.04,437.14,761.53,44.63,221.16,898.18,45.48,909.47,901.3,32.73,942.55,640.31,473.74,751.34,337.7,422.93,633.74,782.17,350.05,581.97,646.44,60.56,533.89,218.02,399.76,977.54,620.55,342.82,906.48,958.68,33.28,485.31
264.91,403.42,170.95,574.82,373.59,372.1,499.75,526.09,30.82,346.93,22.81,741.18,70.14,357.86,707.0,791.16,754.39,908.25,271.97,798.16,794.04,91.58,669.52,111.16,130.62,691.14,700.11,433.36,787.74,290.29,562.36,209.27,3.75,428.48,951.66,150.53,773.67,307.62,672.05,547.71,936.68,910.78,51.82,48.96,700.11,582.98,986.56,176.73,195.07,349.96
837.7,711.29,974.25,720.06,703.37,354.06,531.89,112.37,676.73,288.65,956.16,961.03,812.85,819.46,588.0,43.98,6.65,641.38,689.78,902.18,931.05,667.32,370.7,778.32,84.29,248.59,719.46,653.19,572.24,592.29,200.94,988.64,559.89,474.84,671.68,920.27,480.79,344.63,579.18,838.5,492.16,594.24,475.19,543.11,622.94,863.05,993.09,71.29,9.83,267.38
62.76,867.2,142.75,557.54,122.5,883.24,609.32,792.78,894.85,870.3,116.73,603.81,622.13,564.4,510.91,745.2,341.59,626.21,19.52,492.51,909.35,406.65,180.66,877.36,718.79,140.16,522.85,21.53,628.84,928.19,681.71,270.42,878.71,367.91,880.28,699.86,882.34,942.86,981.39,468.58,517.94,881.97,599.24,331.36,655.37,881.48,234.99,343.96,56.39,401.89
566.97,977.8,853.83,937.46,197.51,471.08,828.03,580.55,658.73,669.54,964.07,389.5,46.67,318.83,538.3,658.85,994.97,208.38,532.63,67.96,309.72,868.7,383.23,275.73,764.21,730.18,305.97,407.1,854.09,877.76,288.48,580.2,2.94,444.25,784.05,817.27,808.42,188.64,104.1,468.42,391.42,710.91,512.26,748.21,488.16,486.13,924.43,361.64,780.8,110.13
108.15,626.81,505.25,193.54,862.26,621.92,363.21,198.72,327.76,975.43,186.51,83.55,354.44,452.77,136.72,126.67,127.56,776.15,560.94,820.38,166.49,482.11,967.99,86.67,296.03,163.5,118.6,262.35,786.33,603.92,281.34,976.95,764.41,577.93,351.34,257.47,320.01,779.36,724.1,564.47,764.7,576.74,381.76,818.61,325.76,753.69,132.21,405.15,165.52,551.11
319.44,576.44,486.13,244.81,325.62,412.67,284.14,593.38,106.14,504.89,196.95,131.86,646.32,885.24,937.89,691.97,924.75,974.87,572.05,157.6,173.11,3.08,102.05,590.53,253.12,280.13,910.89,761.8,642.1,870.46,63.64,795.96,502.05,271.21,512.81,842.07,177.87,817.99,314.61,711.69,467.23,16.44,232.86,746.93,943.86,257.82,935.7,593.71,747.26,671.57
165.62,848.91,36.96,455.9,322.93,684.37,744.21,607.2,530.65,114.87,254.76,116.11,190.21,334.1,593.99,69.2,682.74,387.43,384.04,686.86,398.29,249.38,394.08,871.32,465.86,14.56,259.35,490.06,116.26,379.93,659.15,784.76,543.99,692.32,46.35,597.29,897.54,673.64,395.1,830.69,151.53,39.66,704.08,444.92,835.29,372.95,679.84,501.05,137.92,186.14
929.84,337.98,947.52,518.59,949.72,55.43,958.43,994.58,607.39,371.95,849.68,554.43,77.08,284.55,319.55,15.67,968.76,55.83,219.42,536.78,674.6,232.7,877.36,945.83,657.22,547.21,186.45,664.97,493.76,11.19,666.54,159.41,166.38,762.85,640.45,89.39,788.75,312.08,912.56,414.54,409.68,131.5,508.8,424.53,38.18,985.73,219.74,948.02,87.64,149.43
331.15,88.55,98.11,939.51,895.72,995.78,30.55,251.03,212.19,395.37,854.02,199.47,518.0,168.48,978.31,415.48,672.62,849.91,719.45,776.64,55.54,335.49,96.88,341.07,815.97,19.75,262.45,95.09,743.31,296.54,199.28,58.51,475.3,699.35,916.54,475.77,933.96,824.77,31.05,188.39,446.64,981.12,733.35,430.27,901.08,788.06,101.46,912.14,829.34,134.51
463.81,869.44,602.9,193.83,836.97,588.4,376.17,182.47,943.1,883.22,911.22,657.67,3.16,487.71,159.13,241.18,82.82,647.99,922.92,810.58,743.53,261.61,937.88,194.57,575.96,628.0,578.2,135.5,596.47,768.11,165.36,727.02,115.11,231.93,10.22,384.31,964.64,343.43,842.38,479.78,329.15,191.56,274.18,919.95,758.09,175.44,101.45,848.72,48.22,310.93
560.12,662.9,57.92,803.69,7.52,873.37,485.64,314.31,847.02,409.45,385.84,792.01,259.08,181.3,783.29,434.4,716.73,627.27,425.4,662.37,245.97,689.18,274.89,587.95,185.28,315.21,634.49,874.95,676.07,286.7,642.96,948.26,10.26,922.55,994.97,196.73,12.5,160.26,302.09,825.58,554.19,903.52,999.78,465.09,564.92,866.23,624.85,255.65,28.6,749.44
