ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20
442.89,33.92,261.93,351.97,75.35,82.93,294.1,107.74,18.29,308.4,304.91,309.72,414.59,114.79,490.91,464.09,233.27,98.14,10.72,337.41
200.42,271.22,57.63,14.44,105.86,12.88,348.1,72.26,76.81,301.25,93.99,403.8,467.74,42.89,216.03,424.95,12.04,483.05,231.78,161.78
189.57,227.09,388.05,328.98,110.38,272.55,95.07,217.97,339.27,278.03,301.9,318.39,405.8,252.63,213.65,74.93,259.82,322.58,321.6,38.96
246.48,349.82,406.7,37.81,301.93,185.66,9.26,143.16,308.15,239.86,35.7,185.68,76.54,174.77,98.45,304.36,99.68,487.33,409.59,8.04
115.94,298.61,435.21,55.93,222.21,292.03,10.43,291.6,236.36,8.06,368.69,340.01,309.78,258.62,72.75,488.62,61.3,131.15,191.0,249.96
218.48,490.39,347.03,54.45,494.72,88.22,403.78,233.41,415.58,74.82,193.28,309.16,435.62,479.07,142.8,328.06,375.38,188.73,369.39,483.7
458.09,413.21,255.32,255.85,461.53,455.27,136.19,307.27,39.26,283.64,271.36,415.82,137.01,1.05,319.36,224.21,19.94,87.71,408.7,247.07
30.4,268.25,117.92,26.26,243.69,287.0,241.55,356.07,195.34,197.36,326.8,151.49,69.85,249.77,21.36,324.31,229.42,80.77,293.03,353.9
38.08,410.55,387.28,372.39,344.21,6.07,251.27,475.26,71.5,42.7,421.45,339.18,290.59,136.76,227.03,294.44,366.09,250.94,386.42,411.67
125.18,191.65,202.42,205.04,95.96,83.93,415.2,213.97,169.92,347.81,391.1,248.9,464.43,64.94,454.65,326.99,218.07,22.78,364.35,369.85
478.82,178.6,274.48,189.94,472.6,199.25,313.28,347.0,498.62,214.33,278.72,331.09,368.15,317.85,76.83,277.0,286.42,164.51,226.06,39.05
242.62,343.09,154.83,312.69,25.51,282.61,160.74,158.6,7.22,461.92,444.88,207.65,241.19,330.31,352.22,437.49,144.58,337.98,491.65,397.35
330.9,491.27,132.99,489.72,69.79,236.49,17.54,337.3,491.58,459.89,451.48,434.65,132.81,156.05,126.41,235.9,469.51,23.01,44.51,91.68
217.14,90.53,31.71,86.66,105.58,265.1,36.43,167.52,226.26,318.87,296.28,215.57,355.64,362.31,164.92,360.29,162.98,192.5,123.48,123.75
240.35,444.54,132.49,477.12,247.36,228.54,9.3,441.15,490.08,319.87,121.18,82.83,428.72,24.26,472.63,412.77,365.35,406.84,97.51,225.67
158.99,297.56,338.93,370.04,100.25,16.92,294.27,424.58,174.11,465.88,182.98,219.04,17.06,126.16,103.8,244.48,69.82,62.64,125.96,105.54
200.98,104.37,447.38,374.54,24.5,309.56,322.4,162.69,198.13,192.5,393.47,219.95,61.47,124.94,308.12,310.74,161.73,365.14,187.83,371.67
0.94,50.04,68.07,341.75,120.79,222.98,244.02,369.75,472.66,280.63,464.42,248.02,315.74,177.59,427.43,230.92,177.54,286.22,338.98,199.31
167.06,317.24,2.44,126.57,253.11,147.79,54.45,6.25,8.41,138.07,273.33,15.66,27.69,129.23,197.64,185.25,226.46,236.06,85.0,237.45
55.61,290.72,263.55,140.1,465.09,278.45,159.05,161.63,178.01,171.87,282.71,65.75,182.1,348.78,302.03,315.87,281.3,90.53,57.91,144.07
497.72,82.2,81.8,40.82,352.68,383.44,341.53,112.75,259.95,363.53,180.42,130.25,416.66,51.66,53.2,379.61,43.93,8.7,422.8,461.89
340.76,347.11,52.27,54.3,321.77,393.27,182.48,82.66,69.58,7.13,352.99,178.78,499.49,84.14,195.61,53.21,51.27,185.21,397.69,471.79
41.31,182.5,210.88,233.24,286.07,266.66,312.22,37.12,350.79,311.93,481.45,360.99,23.33,310.92,50.56,441.95,155.83,272.91,179.58,158.75
71.73,293.86,367.12,320.93,21.1,0.11,75.25,322.41,393.06,449.56,114.45,410.46,451.22,171.43,138.73,187.52,121.05,137.17,432.44,22.6
192.49,497.46,98.26,376.02,134.61,219.63,206.31,182.9,58.73,363.96,302.9,333.46,67.42,393.83,45.81,400.43,381.71,461.61,187.5,32.92
295.48,357.37,320.08,104.4,377.95,131.69,106.85,414.81,231.01,37.82,78.69,7.87,404.56,341.07,220.05,111.95,177.6,100.9,107.48,108.62
401.06,486.62,244.82,315.57,378.69,300.52,97.75,230.89,252.07,120.76,97.17,170.84,11.53,11.31,136.87,439.99,150.66,21.57,493.19,78.79
337.48,381.14,459.16,348.41,496.84,216.78,238.05,172.81,116.84,362.69,283.52,91.14,418.2,119.0,357.08,212.83,306.77,112.18,204.12,99.47
464.04,135.13,2.26,340.11,158.63,212.29,118.5,217.17,110.4,330.64,497.89,348.99,473.04,475.9,51.88,332.54,201.18,441.49,402.13,86.31
158.84,386.3,398.6,315.84,237.21,160.91,220.93,69.65,111.09,261.46,91.85,96.32,304.01,342.22,228.91,231.84,39.67,180.85,369.15,26.0
136.92,56.82,391.96,211.81,423.39,354.66,351.71,389.33,413.4,489.19,54.51,60.71,273.04,490.87,420.05,348.24,63.22,48.52,64.9,112.19
131.04,306.26,224.09,485.9,441.75,269.29,270.44,261.91,281.96,175.16,423.45,368.26,413.02,476.33,450.31,53.3,132.66,59.1,59.11,135.53
84.77,231.51,208.86,209.13,307.17,436.21,99.63,392.94,244.41,27.57,254.18,138.75,322.53,212.13,58.27,336.45,363.47,227.38,390.37,0.81
386.16,285.14,474.73,249.09,298.93,143.06,194.97,175.62,76.53,243.77,320.3,212.62,428.96,100.86,194.31,424.56,158.75,329.46,361.93,149.15
157.19,152.24,412.9,35.18,495.46,36.18,163.34,416.99,457.08,224.24,218.08,398.45,422.2,113.96,375.93,29.17,493.54,57.42,368.05,147.03
403.69,335.1,214.07,85.81,466.34,460.28,399.54,281.67,230.96,6.14,321.86,246.61,350.77,351.83,497.73,239.49,29.49,275.27,1.65,484.61
98.76,151.08,304.13,373.62,326.8,229.47,430.94,112.42,358.74,459.2,344.02,173.25,159.64,490.43,150.77,48.31,491.17,225.8,322.46,200.17
157.99,336.46,381.48,363.46,365.12,6.16,83.74,352.22,90.71,283.46,187.63,436.76,234.77,136.06,352.19,148.92,441.71,221.13,72.38,487.24
251.39,145.84,251.2,227.66,305.78,385.35,465.51,333.72,48.01,355.11,381.24,277.01,307.19,481.73,240.43,308.86,379.56,235.76,314.74,192.95
392.33,70.47,127.19,267.26,257.06,376.95,44.65,445.46,335.62,495.75,489.14,450.55,114.23,242.95,12.4,253.35,492.51,242.81,333.23,373.01
312.57,384.99,397.51,410.65,137.42,324.05,64.11,206.95,18.14,62.38,127.02,321.8,119.19,494.0,26.64,454.26,460.62,64.47,385.05,419.8
94.31,379.76,177.64,85.98,311.25,392.42,257.95,461.13,400.93,12.29,152.92,299.97,243.62,296.03,159.74,351.03,328.24,165.34,452.99,77.6
492.57,428.19,20.42,404.95,214.36,255.05,100.5,185.87,229.93,321.73,197.22,362.44,242.4,497.57,34.48,276.32,486.7,98.15,422.18,434.83
369.49,246.17,97.83,245.7,204.97,48.64,79.43,192.74,106.68,212.39,123.1,304.4,86.26,270.12,232.35,32.89,237.72,285.44,187.12,459.06
441.65,309.73,240.93,412.33,406.67,257.04,471.13,45.93,353.41,376.33,141.16,134.59,202.36,222.29,412.21,11.89,313.99,353.17,445.95,269.81
149.72,139.7,411.9,429.24,147.65,339.69,240.72,261.75,57.42,111.06,464.14,180.17,452.82,198.42,391.31,77.77,293.08,57.8,337.24,302.64
48.08,33.52,342.43,283.71,438.19,449.83,166.83,199.53,248.67,301.19,311.63,102.49,131.84,397.58,274.34,162.36,200.75,40.98,422.51,137.97
287.05,207.0,305.76,419.39,177.16,275.04,443.75,450.87,219.06,281.73,102.67,130.95,303.42,141.48,345.29,249.16,321.91,83.22,382.42,282.94
139.09,178.96,199.92,486.22,71.27,432.07,92.2,87.4,300.5,39.17,321.52,135.96,113.95,156.74,236.21,69.98,395.92,186.88,115.1,393.54
344.75,192.92,135.98,175.93,102.35,398.92,321.33,414.29,415.91,268.83,89.44,90.45,24.64,185.03,155.23,126.3,256.49,34.49,271.45,182.29
468.36,148.01,253.18,450.17,478.58,272.22,351.67,218.08,133.01,402.92,194.42,428.49,197.5,130.12,263.72,484.58,452.79,215.76,406.46,1.75
295.42,128.59,492.26,45.42,326.36,36.09,55.66,33.62,159.35,121.57,376.11,163.07,290.01,476.22,259.32,269.84,347.03,344.01,400.62,390.73
259.44,173.7,335.08,345.64,403.12,491.36,376.31,327.36,166.57,204.58,197.08,268.07,280.88,243.08,352.13,322.84,216.65,80.55,62.18,488.5
50.82,20.73,416.26,215.94,376.27,387.85,196.36,123.46,375.75,499.91,350.12,467.22,347.12,417.49,352.1,270.07,341.85,104.92,37.33,462.77
488.14,176.88,186.77,9.65,299.54,125.8,198.12,97.07,410.38,15.85,23.68,101.34,89.58,283.56,411.38,80.7,18.78,474.98,87.69,186.73
444.52,216.84,15.3,388.91,434.57,176.71,70.93,472.96,458.52,186.31,414.52,303.56,351.86,172.88,81.66,251.51,201.28,25.88,452.9,481.38
468.48,203.43,33.58,59.8,486.72,440.5,445.39,292.16,29.52,199.16,234.68,399.23,302.83,97.52,226.08,434.4,108.06,34.74,58.6,112.16
468.24,492.28,293.73,54.13,473.33,264.73,54.05,116.9,499.95,23.44,287.1,460.26,389.71,145.54,258.79,435.19,430.34,479.91,381.4,223.44
23.35,109.07,275.66,141.22,229.14,394.41,453.93,396.37,287.04,70.61,161.51,486.18,139.88,16.46,366.85,105.75,376.54,296.72,35.82,38.15
198.01,123.3,466.56,457.42,327.89,466.78,493.78,414.2,253.03,463.51,382.52,14.26,235.87,69.06,125.36,230.14,245.37,288.98,316.18,238.36
314.16,436.2,29.26,121.73,307.64,136.42,311.6,490.28,46.66,468.85,468.07,409.9,483.24,424.61,379.94,16.37,323.1,375.58,400.09,133.79
299.7,438.17,289.17,277.35,442.67,28.07,27.38,477.29,479.76,158.9,72.4,77.25,301.84,394.02,173.19,200.18,333.98,238.91,211.62,385.35
281.1,300.4,493.93,389.32,205.95,281.13,275.4,280.3,387.15,101.54,281.36,129.37,260.13,190.26,143.68,433.87,226.55,291.35,116.02,220.35
184.43,238.17,57.86,59.69,162.23,53.73,247.74,493.72,420.09,299.69,251.16,445.62,375.51,401.76,24.19,344.96,122.16,69.58,273.56,116.36
160.61,92.66,468.4,107.12,467.95,475.83,234.39,175.4,264.72,187.29,461.29,224.28,313.99,178.07,56.99,370.01,24.48,5.84,196.32,366.73
214.19,150.02,160.58,442.28,260.73,238.08,419.77,289.34,332.25,391.33,407.46,404.61,103.75,133.46,342.1,65.35,149.66,31.77,49.75,148.69
380.71,318.73,102.09,122.24,399.55,290.09,4.76,497.23,38.38,155.28,457.37,129.51,85.15,464.83,359.26,321.79,100.38,97.76,424.53,271.86
191.11,396.3,300.32,326.64,161.31,42.53,143.26,37.54,334.17,181.16,327.61,1.84,366.51,114.1,249.54,111.53,391.09,208.26,155.84,335.4
194.73,434.08,157.58,134.73,361.85,23.98,186.24,135.23,114.02,376.83,356.89,444.9,175.28,100.22,355.81,361.12,387.12,276.53,211.96,316.06
106.06,81.42,429.03,42.79,407.22,46.22,345.14,462.62,92.81,8.41,78.33,153.58,237.48,53.1,387.75,419.91,180.51,269.95,430.52,457.3
301.74,192.38,111.44,268.49,84.74,299.83,25.15,373.28,316.54,495.61,98.6,61.13,431.9,266.68,342.67,14.59,258.79,385.72,384.11,166.77
218.77,241.06,379.42,390.14,62.63,89.74,311.39,335.01,391.43,457.31,112.17,384.27,384.21,173.69,32.48,214.37,159.1,395.61,125.99,292.63
397.7,384.14,112.32,174.59,432.52,322.12,230.87,213.54,225.71,497.04,310.69,272.7,144.5,178.54,214.62,21.28,382.96,434.14,269.06,262.75
160.7,152.51,178.35,231.16,89.35,158.71,392.49,114.24,483.09,71.35,275.96,270.37,490.28,51.44,143.05,137.06,279.95,174.54,482.61,455.73
80.86,310.29,53.47,146.92,463.96,263.97,401.83,366.15,118.86,175.01,496.31,168.74,386.24,53.98,242.7,325.96,286.63,426.98,11.28,273.99
53.19,450.83,269.2,62.49,86.18,13.07,394.73,399.99,126.49,181.02,45.12,10.73,466.85,375.64,291.44,176.79,82.99,427.51,443.34,149.01
437.84,275.11,45.21,160.63,197.16,157.0,132.23,390.54,480.77,160.42,243.97,309.61,194.17,123.61,334.38,376.59,362.65,127.57,191.72,161.78
491.57,251.49,495.61,230.17,323.01,499.34,96.82,470.64,134.1,276.25,10.19,174.14,368.08,301.85,365.35,289.89,12.41,201.17,254.44,447.72
347.68,413.77,21.93,226.9,214.21,374.69,479.37,276.39,259.26,164.83,296.48,68.93,75.05,254.8,408.19,111.54,419.87,424.27,315.45,88.61
87.8,470.63,212.12,228.53,88.96,337.15,7.25,226.88,368.68,319.02,116.64,120.7,232.64,275.76,385.22,139.66,451.56,112.5,420.87,347.21
320.34,447.9,8.29,304.36,223.57,58.12,492.22,144.56,168.91,272.16,264.66,419.56,494.57,33.23,329.16,3.15,414.61,17.05,59.42,63.54
452.54,269.67,304.0,124.2,279.68,145.84,8.61,320.72,384.19,241.67,215.87,267.34,310.81,107.6,257.92,67.95,452.07,275.67,352.85,170.03
279.21,423.55,105.14,12.67,484.02,211.76,239.92,479.63,470.9,203.77,26.09,11.66,478.44,170.65,35.82,489.03,452.02,138.11,476.75,253.72
353.1,373.19,392.18,193.3,58.64,241.3,329.56,232.73,151.4,352.04,157.73,94.51,377.35,472.29,25.57,271.05,137.16,24.77,52.03,253.59
445.64,431.66,306.06,225.03,367.93,222.37,363.36,123.95,224.67,181.69,197.37,300.72,234.87,238.35,460.95,431.54,114.15,426.73,304.75,392.22
155.09,54.85,272.98,409.59,347.04,272.25,52.24,113.12,495.56,20.71,430.74,490.98,173.01,173.48,156.92,198.96,410.75,61.98,291.98,30.42
238.46,223.46,173.28,487.65,251.16,276.81,272.03,134.37,249.28,424.92,342.86,136.88,277.2,34.93,40.99,352.74,69.32,146.24,282.95,262.71
385.93,83.87,286.48,304.25,321.07,131.51,267.67,39.24,263.41,146.3,161.59,279.32,398.2,307.98,458.53,179.1,346.1,262.03,84.84,435.82
377.84,492.62,444.83,425.73,377.93,161.4,254.32,18.0,364.15,232.63,392.51,485.37,106.68,122.61,44.49,232.24,370.11,230.9,64.62,123.97
446.16,390.93,86.45,163.7,174.74,423.81,42.46,32.46,81.58,408.1,305.31,352.52,450.86,85.37,231.5,172.18,274.82,437.33,244.63,453.5
450.88,93.52,280.48,155.02,215.39,341.19,374.63,99.98,81.71,232.39,249.19,430.43,59.09,107.58,193.7,65.05,7.81,381.4,247.23,455.31
128.37,418.95,207.53,269.2,456.93,212.91,498.16,327.47,79.37,395.31,322.22,430.23,272.2,483.24,288.02,24.17,46.43,88.13,415.72,36.3
69.84,415.67,167.67,45.76,83.32,43.39,351.56,45.5,371.52,83.07,317.62,435.08,83.56,410.33,156.31,39.99,301.16,122.58,394.73,450.49
9.54,269.82,160.72,310.09,299.67,177.28,482.93,7.31,198.08,378.06,147.99,341.66,344.04,440.72,363.87,253.56,212.03,426.22,21.81,204.25
205.83,291.78,164.83,479.02,375.75,139.29,445.42,226.41,150.13,157.8,81.77,260.66,219.16,457.17,246.94,194.98,103.41,487.94,318.56,121.08
146.02,188.98,47.33,493.41,252.07,205.31,90.05,172.88,368.35,137.33,453.43,424.56,69.76,193.39,141.66,302.02,29.66,280.65,332.54,28.14
54.55,342.73,2.66,86.0,129.41,14.88,377.81,445.27,200.1,112.41,437.93,462.19,156.09,20.24,126.13,139.39,302.89,8.55,353.12,466.72
496.78,375.94,6.27,164.1,298.92,244.6,198.41,150.84,426.7,458.49,185.93,376.93,327.19,438.57,38.38,291.33,230.75,297.53,76.92,202.01
67.12,388.31,206.86,124.17,70.88,213.44,307.87,427.52,10.26,384.6,325.32,71.42,387.85,417.75,267.16,218.19,47.08,390.41,432.83,396.1
336.22,316.08,77.58,414.31,324.23,443.53,157.41,46.26,62.21,436.47,363.94,317.51,397.84,27.01,68.75,321.14,148.92,453.96,160.0,422.91
134.73,159.87,220.42,390.34,159.46,196.0,364.41,227.84,494.41,222.25,307.1,15.3,129.01,324.47,132.49,62.18,162.35,135.32,191.08,472.06
358.17,450.04,190.01,104.3,279.76,116.11,59.32,200.55,26.2,104.34,356.19,401.04,392.79,199.29,251.88,272.89,498.79,223.76,479.64,446.77
469.65,382.43,189.82,308.67,417.87,385.09,38.91,492.12,130.07,116.53,479.2,448.74,246.95,261.82,347.52,94.91,464.93,15.98,368.14,193.41
297.49,282.39,86.62,409.19,169.52,161.65,482.82,87.05,250.12,492.89,450.36,412.16,300.48,176.41,179.42,439.08,202.04,498.66,462.95,244.91
183.95,259.29,443.11,477.14,161.11,343.39,191.65,18.08,461.03,27.73,0.76,204.57,312.82,106.02,246.36,204.1,178.24,458.52,448.9,96.06
1.77,164.07,379.17,456.79,103.09,87.69,151.52,203.61,164.33,378.67,192.11,111.39,314.83,366.98,380.94,241.9,489.65,400.41,31.5,8.29
174.5,255.01,188.95,489.04,368.51,29.13,75.95,115.4,100.68,164.65,64.41,483.93,59.5,244.07,243.71,382.98,40.21,132.7,411.76,26.01
110.34,314.78,266.22,220.72,456.78,495.64,185.86,109.85,479.04,145.59,209.03,122.81,41.25,56.59,476.23,487.43,148.07,388.96,212.65,353.31
185.43,28.26,397.25,53.24,341.24,389.64,178.78,462.97,441.97,131.36,182.89,236.44,86.33,34.35,183.56,217.58,51.95,213.23,159.82,74.07
475.55,484.55,40.02,475.3,50.29,469.29,156.96,108.46,309.78,180.79,414.65,189.79,72.92,297.39,440.5,5.34,482.53,103.16,433.83,172.0
389.27,118.4,136.68,26.21,58.89,32.62,423.02,382.88,293.22,404.81,137.64,201.85,226.65,415.11,139.62,301.06,79.99,378.98,134.24,198.4
272.81,246.67,481.33,69.8,280.23,149.16,46.83,350.59,259.96,420.19,193.05,75.2,326.4,483.67,379.74,412.87,417.99,112.59,42.69,443.88
474.87,92.41,38.73,229.26,318.63,141.85,61.03,322.09,128.04,153.05,39.02,436.7,404.58,140.57,274.07,403.64,178.99,265.58,441.05,38.78
218.73,205.94,324.5,84.09,376.87,473.19,15.09,115.88,493.27,118.74,35.26,154.69,111.9,279.96,90.48,163.36,290.76,151.9,219.92,281.09
405.98,203.68,210.21,129.99,313.11,336.81,108.28,337.07,289.12,362.63,111.44,418.25,257.56,20.27,134.75,104.07,56.94,473.28,308.77,144.0
296.46,318.7,259.88,394.69,53.15,41.72,112.92,429.85,230.22,159.74,375.73,136.57,297.98,407.34,8.48,106.5,414.97,3.64,6.87,441.32
438.6,56.02,385.7,135.0,369.23,486.1,34.76,318.02,120.3,381.17,36.79,268.64,87.46,22.91,261.6,441.51,292.55,17.68,187.82,129.88
64.18,282.27,257.11,425.35,174.46,160.03,314.08,9.32,182.89,328.93,88.64,361.06,75.16,253.63,66.9,471.29,320.17,238.59,403.9,115.29
190.93,209.75,214.93,351.49,342.27,26.22,365.93,49.35,407.51,405.28,380.18,273.6,274.04,75.15,105.04,307.5,421.56,188.06,368.74,168.01
69.19,17.7,298.78,12.48,414.2,422.57,39.83,158.01,238.03,79.22,124.79,256.48,190.74,50.06,256.13,136.68,288.27,96.92,133.84,37.78
253.21,77.14,22.45,277.95,224.59,92.92,199.23,82.1,170.9,434.65,253.4,316.58,356.54,10.0,276.24,109.09,388.56,428.5,486.76,72.66
437.7,275.95,158.25,386.41,12.22,481.28,152.19,122.92,126.9,80.56,114.22,390.49,102.55,299.85,146.43,445.42,90.55,443.65,238.04,361.28
349.21,386.99,251.0,25.36,169.07,225.14,109.94,149.09,259.79,448.83,178.13,385.9,105.49,115.66,234.01,331.07,234.74,432.16,199.99,216.36
96.89,289.17,50.98,276.87,69.74,296.09,98.25,255.33,300.83,213.53,64.82,364.76,495.56,224.27,383.42,70.8,6.45,280.85,106.01,307.73
369.77,276.99,233.26,70.79,329.19,423.2,280.39,206.74,30.0,471.37,354.97,19.76,74.22,21.06,203.24,190.27,176.7,144.85,245.55,244.54
137.22,365.95,439.66,215.48,440.33,414.24,267.97,464.55,258.98,205.01,277.62,14.0,373.72,298.73,498.68,15.66,289.13,160.23,294.38,157.53
272.85,329.55,83.36,23.79,198.84,343.68,8.19,156.33,74.4,494.97,409.02,80.87,153.41,84.83,118.34,163.89,124.56,359.97,142.97,54.89
160.18,416.35,79.32,31.7,93.0,106.05,238.02,10.76,199.19,465.88,187.76,86.42,178.44,458.29,136.52,17.77,165.84,367.26,462.94,110.41
322.79,428.39,306.49,368.17,144.86,265.25,119.73,397.73,499.31,358.54,184.57,425.21,414.71,2.56,457.7,63.76,479.99,117.06,469.29,404.44
281.67,183.36,393.61,19.37,273.55,160.22,52.22,42.94,305.35,140.71,280.63,245.8,393.15,168.35,72.53,476.44,191.55,301.75,313.45,104.62
152.68,196.35,288.45,359.84,231.13,439.75,202.25,263.4,235.67,93.5,81.0,208.6,408.04,479.2,80.4,28.07,384.27,114.68,436.02,62.45
241.16,303.67,310.36,267.42,108.13,313.65,498.61,362.69,20.43,437.31,356.78,370.98,382.24,451.97,319.56,51.0,75.53,316.8,389.07,227.62
422.66,491.16,153.05,254.15,161.72,441.39,389.95,348.55,113.02,310.49,44.96,436.21,75.1,440.97,361.6,90.62,219.68,223.42,446.64,417.15
128.54,407.11,111.93,126.89,423.54,209.05,141.57,195.14,184.01,86.86,89.12,471.04,384.02,485.25,78.23,185.31,247.28,235.67,447.37,465.43
36.43,476.07,374.94,196.22,161.75,375.68,296.11,13.66,313.58,247.18,87.82,20.38,354.5,89.45,206.1,74.89,18.3,136.49,20.43,44.89
