ATTR1,ATTR2,ATTR3,ATTR4
81.32,77.85,42.4,22.21
33.61,70.59,82.04,61.53
2.4,62.39,16.98,81.95
63.43,14.12,5.89,57.34
72.28,14.94,63.99,72.77
31.31,96.09,72.12,95.95
38.09,43.95,25.28,69.77
66.08,19.93,28.61,56.96
82.14,43.65,62.9,55.48
16.04,98.37,5.33,9.12
24.08,86.59,16.69,31.33
94.93,84.4,2.19,38.64
15.0,26.04,66.41,45.2
56.34,64.1,62.97,29.07
88.41,95.47,36.41,64.38
14.04,90.32,99.29,97.47
49.92,74.16,77.51,65.82
82.82,82.95,30.38,83.26
19.26,11.17,2.45,76.62
24.84,26.35,67.6,95.13
6.1,49.68,57.81,27.22
32.53,88.73,45.76,79.61
19.45,46.0,71.93,96.5
5.98,93.21,55.09,63.55
10.51,32.49,39.18,4.38
56.3,29.01,22.43,13.16
1.38,79.94,94.55,60.9
14.91,18.18,83.03,99.46
10.3,67.0,26.35,43.1
33.47,0.35,34.56,95.88
3.88,45.41,19.91,5.52
39.55,54.85,46.1,69.91
5.9,79.33,41.54,14.39
33.41,39.27,83.12,51.71
20.75,75.86,57.59,48.35
77.0,25.64,57.19,11.29
3.15,50.15,70.66,37.4
21.76,93.72,72.51,77.26
65.13,85.68,13.45,79.19
43.27,83.64,12.23,20.15
94.96,26.0,84.97,49.09
78.55,94.67,19.58,45.29
98.76,20.29,36.72,45.67
46.7,79.03,35.68,81.82
68.61,62.32,53.37,64.55
19.14,74.75,71.16,79.82
47.2,48.16,9.91,93.76
59.96,5.36,48.37,75.38
11.26,36.39,77.87,40.69
24.33,34.13,5.79,19.86
85.78,93.87,54.86,39.66
65.83,31.15,49.43,44.7
93.31,56.84,15.34,11.09
4.62,33.46,23.11,80.95
62.86,10.45,54.19,88.61
41.31,52.86,62.71,34.26
90.6,1.13,80.55,42.32
81.37,44.54,59.44,4.22
72.77,5.99,77.77,44.29
25.68,41.46,40.16,87.53
61.82,12.43,78.18,92.95
45.5,67.42,90.65,63.2
22.47,35.99,98.05,71.07
20.5,19.43,48.85,48.52
98.82,96.55,36.75,73.46
89.69,61.56,8.31,81.13
98.2,16.67,50.38,84.74
92.95,24.78,30.1,86.02
89.78,58.5,73.8,43.6
6.71,20.1,45.69,80.33
20.67,92.16,14.22,96.62
58.59,66.11,33.89,8.42
42.28,37.61,80.91,23.28
91.58,72.63,13.89,57.52
48.4,11.23,36.39,4.68
16.77,58.1,30.32,68.51
20.14,18.05,19.36,26.7
64.42,37.63,30.85,40.04
7.67,62.77,21.46,25.73
44.83,85.29,90.4,24.1
71.41,22.78,75.07,97.5
37.34,31.43,58.55,5.23
58.67,87.65,96.98,55.61
75.76,33.66,52.49,73.78
16.02,87.75,85.79,14.32
99.1,22.63,67.19,84.84
0.88,4.98,93.2,9.52
42.32,53.22,53.52,40.93
2.5,17.04,59.58,14.95
1.16,50.35,71.41,71.63
36.37,87.83,8.77,53.55
30.07,16.68,35.36,20.56
36.02,68.31,95.33,38.32
19.07,73.22,6.77,15.02
34.09,23.7,91.86,85.76
46.82,56.63,59.4,41.79
99.24,5.43,42.95,8.77
37.81,43.3,1.58,74.15
79.11,57.82,40.3,94.55
40.85,3.29,48.9,7.36
72.15,99.52,88.49,94.98
66.1,13.46,16.74,3.27
12.57,32.75,32.15,89.71
97.7,3.34,95.04,41.43
16.37,66.25,93.55,9.03
77.03,91.7,66.57,48.02
68.33,46.05,25.08,25.94
59.21,42.21,77.0,49.61
88.11,58.72,84.93,38.08
14.34,52.73,3.16,31.5
77.92,81.07,33.2,62.22
43.85,95.99,28.81,16.02
36.36,60.6,24.64,46.47
80.17,2.32,38.04,68.51
95.83,99.19,87.52,43.52
42.44,17.19,94.66,27.75
49.49,69.14,63.17,71.96
64.13,12.11,69.61,65.41
52.67,83.8,56.7,23.27
20.28,40.48,69.01,37.96
13.06,70.77,56.71,45.28
84.28,17.89,45.03,35.78
99.45,25.67,83.8,96.08
72.07,15.02,53.61,74.17
79.64,88.98,16.69,41.3
6.8,15.06,17.59,12.19
92.23,25.45,34.92,88.77
68.71,25.51,34.31,94.68
12.84,49.53,49.38,55.07
56.31,67.42,95.86,1.83
35.05,51.99,94.61,87.35
80.38,86.32,77.27,69.51
42.33,54.0,94.08,23.53
26.83,42.61,61.12,1.91
88.57,9.66,37.78,77.63
87.69,55.41,95.74,35.41
98.55,49.22,7.85,9.93
29.91,82.91,32.57,89.28
8.35,85.43,73.46,97.4
33.19,37.12,32.72,10.64
44.48,2.63,77.69,55.88
64.5,93.78,81.57,39.54
74.55,13.95,78.31,20.12
37.08,77.31,7.7,93.61
42.33,75.98,56.07,60.29
62.55,9.6,23.58,8.63
78.04,13.9,78.77,94.12
74.59,17.34,95.48,90.45
55.72,19.62,39.81,26.37
28.75,73.21,88.62,53.03
55.88,21.07,35.27,94.34
1.48,90.31,56.98,34.18
45.17,89.31,14.34,40.56
37.35,83.64,11.42,24.37
74.44,52.48,5.38,85.66
43.12,65.85,85.95,10.0
55.15,87.24,99.3,13.54
95.23,48.42,19.7,3.45
77.38,40.98,65.8,18.32
93.82,27.21,30.69,2.08
66.76,47.25,6.88,46.42
19.47,52.14,29.4,66.8
53.91,53.92,13.92,99.21
87.77,67.49,26.78,25.08
75.54,38.29,37.65,18.92
73.92,74.08,97.57,40.06
36.72,25.53,92.27,83.8
71.52,52.96,75.02,14.66
9.63,79.97,70.61,35.44
18.25,37.82,56.62,50.67
91.9,96.15,4.91,51.63
89.67,18.78,53.51,85.34
43.2,37.63,14.14,44.78
12.59,94.47,66.29,3.14
67.28,96.42,98.06,96.06
58.06,24.23,14.21,41.63
91.21,0.9,30.9,85.06
27.52,70.11,25.16,55.07
1.03,31.28,72.42,8.71
75.79,47.45,48.12,17.06
5.74,91.84,81.4,69.22
36.3,66.18,60.38,16.55
73.17,20.56,50.75,18.85
40.41,14.2,23.08,21.99
81.79,64.68,4.3,40.71
59.67,62.97,30.68,19.44
25.39,60.7,33.57,96.22
22.86,38.24,29.7,44.71
37.52,92.94,26.29,80.74
93.56,23.1,89.9,98.57
22.05,52.93,31.21,1.45
94.5,9.58,97.67,70.88
45.72,28.74,25.28,5.02
48.7,34.28,53.53,70.14
86.93,0.73,7.47,80.34
0.01,64.83,69.37,18.05
12.02,54.93,40.41,46.07
53.3,67.39,5.26,20.09
6.84,40.33,50.02,11.15
73.45,66.15,0.75,35.29
69.36,48.0,12.25,37.75
69.12,11.75,86.91,44.92
28.81,76.92,98.29,67.42
94.62,62.19,8.58,86.94
93.42,53.8,46.93,37.33
35.61,65.72,14.36,39.95
41.64,14.99,3.34,54.85
79.8,87.15,82.9,67.83
46.93,75.01,23.14,27.13
43.91,15.26,83.69,23.88
59.03,59.24,40.9,14.23
95.78,41.7,63.9,92.71
59.1,33.77,77.71,91.71
36.49,47.8,88.89,0.81
57.82,2.22,38.85,97.32
48.33,67.78,22.74,5.01
24.05,85.78,66.59,9.79
6.21,88.36,94.54,29.25
51.35,6.55,63.73,67.02
93.86,0.27,22.09,47.2
35.87,93.05,86.12,34.78
79.1,12.53,43.18,6.12
33.07,56.06,6.65,21.25
73.77,90.67,45.67,88.2
71.58,32.11,21.04,27.15
58.23,26.89,88.6,15.84
83.56,11.6,36.07,61.74
83.67,19.64,82.23,40.41
8.81,66.83,14.34,70.2
34.52,56.31,41.44,18.34
34.63,48.29,92.74,9.72
50.24,19.7,88.47,13.42
45.27,43.16,92.17,8.61
9.82,18.3,1.57,65.72
87.61,69.56,88.16,71.28
37.46,15.04,36.64,51.51
87.79,18.63,66.0,3.12
43.68,98.07,13.12,90.01
67.7,58.99,48.37,13.59
49.98,56.09,29.23,96.59
0.22,20.62,17.19,70.35
9.67,37.79,32.86,59.44
86.38,6.08,10.09,26.27
66.66,17.56,2.16,51.4
79.12,81.11,77.89,76.82
36.89,94.92,18.62,42.3
26.97,93.55,55.03,63.35
30.91,14.09,49.15,94.35
35.73,32.44,24.94,82.07
85.62,87.47,83.13,36.33
8.33,5.65,88.84,1.53
37.68,86.45,19.1,1.01
81.11,94.79,86.41,24.51
93.7,23.4,69.59,52.16
41.03,67.98,4.42,60.17
85.94,18.66,33.3,39.08
77.97,8.15,76.75,98.49
92.21,56.77,14.08,21.75
5.85,6.61,31.35,12.48
85.24,60.16,55.32,69.69
43.67,73.86,37.65,18.62
2.47,92.61,34.12,68.91
70.44,94.39,70.48,47.26
8.26,66.81,12.48,69.6
6.18,25.34,68.75,36.66
60.54,5.64,67.49,88.87
43.63,69.75,3.1,64.77
28.49,5.86,74.71,66.81
82.62,83.81,70.97,82.05
57.69,77.45,97.35,51.37
4.27,14.92,81.8,85.86
11.53,94.16,55.25,74.62
38.44,93.36,48.06,39.0
73.62,73.16,95.89,19.86
59.97,89.41,33.28,54.96
73.69,3.83,95.1,79.36
94.2,24.43,32.85,61.36
91.41,39.55,16.8,52.77
55.09,0.09,13.88,46.58
8.42,14.23,11.43,25.61
71.82,1.06,76.3,27.68
72.6,34.42,22.9,88.73
41.76,94.55,91.11,32.01
26.1,43.01,52.93,24.89
57.56,81.03,31.35,15.87
50.09,22.07,34.32,0.73
99.07,90.74,79.33,0.29
78.65,39.25,35.01,86.9
60.95,79.67,27.26,4.53
26.41,77.51,95.18,99.75
35.87,74.43,2.28,73.11
1.15,91.04,19.76,95.17
43.38,43.17,64.89,98.15
27.64,30.02,86.47,70.72
50.61,20.14,70.68,12.57
53.7,0.93,37.48,79.86
94.83,54.08,52.99,79.45
70.69,16.54,12.77,12.16
69.07,38.15,12.61,20.94
54.19,86.5,90.56,70.72
33.57,69.34,61.73,76.91
67.39,22.03,16.55,15.27
24.51,42.44,63.16,14.15
86.78,67.05,29.88,93.22
72.34,32.7,38.06,94.35
97.41,48.79,29.26,91.04
72.85,77.39,85.78,21.46
34.93,11.67,19.3,67.41
41.32,33.64,96.96,12.94
16.63,5.4,91.04,38.4
82.42,86.45,12.43,8.51
72.24,83.87,85.76,45.75
38.33,44.45,88.92,58.41
2.65,82.59,2.68,71.75
94.07,23.12,24.72,3.52
97.88,36.91,3.95,13.47
36.51,10.7,60.21,14.86
90.19,0.39,17.96,1.66
18.95,31.26,6.64,28.46
90.04,55.52,14.55,26.23
96.78,53.07,51.98,48.84
75.9,92.5,77.18,38.45
2.89,98.95,0.89,37.82
36.69,80.3,88.27,92.44
98.53,31.85,5.34,65.23
86.88,5.24,43.05,85.2
54.12,68.01,45.17,38.64
91.44,83.51,89.94,87.72
45.35,40.04,47.3,2.52
94.98,50.31,75.1,2.83
44.24,14.53,59.55,67.49
98.2,29.24,88.82,39.51
88.75,95.8,73.65,99.75
20.22,7.01,91.64,68.03
69.04,33.96,52.67,0.81
95.13,46.88,85.34,34.65
57.07,41.31,66.86,55.09
27.95,16.9,52.8,96.86
78.03,48.56,77.33,82.79
65.82,67.54,52.35,28.56
62.79,43.64,28.43,83.38
85.63,38.95,35.85,57.76
42.77,8.63,11.19,23.6
40.86,41.6,30.52,53.28
16.44,76.81,33.99,50.22
79.5,50.56,94.66,71.44
22.16,27.17,76.82,20.69
53.19,5.03,82.19,12.25
38.76,62.35,0.71,7.14
93.27,62.53,38.39,98.05
63.68,81.45,36.42,4.44
28.77,53.41,48.93,2.42
32.67,0.73,70.56,33.64
3.59,99.02,17.28,84.64
90.82,27.26,93.47,33.76
92.69,30.05,68.84,79.03
49.81,66.42,51.54,81.78
63.3,9.37,99.97,15.88
8.72,28.73,68.77,14.94
64.59,28.22,57.31,88.49
31.63,2.59,46.81,64.27
9.5,55.72,56.34,17.91
83.35,96.87,24.87,32.23
48.16,32.67,62.49,97.54
47.16,26.36,32.93,62.04
4.0,50.8,46.92,94.8
5.2,41.69,57.18,57.83
7.3,63.72,24.34,52.55
17.3,48.45,64.12,29.5
78.72,56.1,70.53,95.24
2.01,52.12,15.62,88.99
84.15,88.3,64.72,35.9
60.08,25.82,2.72,5.37
56.62,97.97,70.76,24.05
13.15,51.22,96.54,12.92
81.75,2.3,6.69,90.36
94.41,31.55,54.48,33.16
11.08,13.92,21.98,14.52
38.57,98.3,9.59,7.35
4.31,87.97,79.82,39.96
78.14,79.47,65.99,64.22
64.52,65.99,51.28,53.29
4.75,28.99,69.11,73.26
64.2,83.55,83.04,80.69
81.58,93.75,60.03,14.78
83.86,13.51,19.29,13.74
50.09,57.04,5.19,50.98
45.74,99.87,61.96,6.46
43.94,85.06,41.58,94.22
38.92,33.59,7.11,20.7
15.81,30.57,1.23,58.39
8.72,67.7,51.12,95.69
73.43,81.91,3.0,2.84
56.75,77.27,94.2,5.14
99.03,48.01,32.18,16.94
42.21,86.89,58.1,70.98
80.85,62.11,41.42,44.56
5.83,57.76,2.29,38.59
32.56,41.56,53.68,78.44
48.58,63.75,71.31,32.73
12.96,33.12,79.64,44.06
92.19,94.82,78.82,63.36
47.07,11.88,24.42,16.65
28.92,76.25,51.19,26.98
44.14,50.29,50.26,64.79
98.02,31.26,77.2,71.94
87.37,60.99,4.34,61.15
86.26,55.43,51.48,14.29
65.79,59.63,2.87,58.24
64.08,86.68,57.83,40.65
58.08,30.07,6.02,70.58
38.8,7.8,96.03,97.92
91.16,13.56,33.46,41.19
84.63,60.84,61.8,67.31
10.99,18.83,13.07,80.69
55.43,4.2,56.26,31.85
32.46,35.69,92.53,78.12
3.18,40.68,26.55,8.09
23.81,39.41,93.51,54.14
35.14,56.72,61.77,70.83
41.24,18.53,94.09,45.18
37.18,80.14,50.81,90.92
47.04,37.75,59.49,43.45
71.83,95.07,59.21,63.16
60.46,93.59,73.38,24.58
27.98,77.86,18.32,98.12
52.22,94.94,78.94,6.37
35.42,2.86,69.98,7.31
31.21,16.73,70.61,15.36
36.89,89.65,93.92,99.84
19.77,31.65,73.72,19.22
66.75,30.04,88.28,32.8
68.83,42.0,47.13,4.53
64.99,38.32,73.18,4.83
53.8,58.06,83.98,27.37
56.6,1.32,90.27,51.96
87.26,46.63,26.57,96.7
61.41,5.41,83.81,94.81
99.87,50.96,44.37,60.84
77.08,28.27,0.25,21.03
37.2,60.32,48.45,58.2
97.66,9.68,25.14,70.58
18.06,74.39,44.21,22.27
96.09,7.37,37.24,85.4
75.14,96.01,20.02,26.27
35.1,64.3,27.79,62.49
19.39,26.64,67.18,39.9
81.31,86.92,91.87,25.26
80.71,78.36,11.12,78.79
20.6,44.19,91.51,46.2
57.51,29.93,69.01,65.26
81.05,24.4,53.89,91.48
92.25,10.32,91.56,37.21
52.06,64.62,71.08,96.01
40.97,67.61,15.36,75.38
16.86,85.43,27.74,41.01
53.51,40.18,0.94,7.6
93.07,21.97,28.57,41.87
61.41,41.83,67.95,80.11
9.28,89.69,29.31,79.28
33.09,10.81,92.76,85.96
58.99,46.41,57.38,69.93
34.75,98.12,32.63,85.03
19.46,19.82,61.06,50.91
74.72,53.92,43.77,92.28
64.55,35.53,17.28,64.21
5.13,16.65,20.19,85.78
47.35,26.98,61.47,84.19
82.67,79.92,38.75,0.83
78.06,98.62,90.98,51.09
13.02,63.35,62.52,16.16
78.97,29.35,12.6,47.19
51.34,17.18,17.29,87.14
56.55,38.84,79.83,38.34
84.43,9.73,73.44,22.48
53.03,41.1,86.95,95.21
10.61,18.08,41.05,84.34
4.77,50.64,49.92,65.78
25.71,32.7,55.12,80.1
35.64,97.94,86.34,41.66
97.25,87.98,29.69,70.59
89.91,19.43,10.27,48.41
26.96,64.33,18.76,92.02
52.12,12.58,9.54,26.63
55.56,65.02,0.28,48.71
32.28,25.85,90.36,92.68
22.96,24.92,53.28,26.32
94.06,44.52,49.4,28.15
25.11,4.43,44.31,4.24
34.44,63.5,98.54,77.12
43.31,67.32,57.74,18.18
64.18,91.75,73.59,30.46
32.32,39.61,90.35,54.93
46.03,16.0,26.17,64.57
57.22,7.37,34.88,60.0
54.14,63.18,36.64,66.98
19.51,81.5,57.61,33.56
29.86,1.54,0.33,52.16
35.75,69.04,30.85,54.85
15.31,98.08,5.87,51.83
85.36,88.78,30.43,60.36
97.63,37.17,47.05,28.28
57.66,67.18,0.81,29.92
59.39,15.44,62.5,3.48
25.38,90.3,84.7,7.7
93.51,42.78,52.04,78.25
16.49,48.6,80.84,21.29
59.49,11.09,75.43,78.78
87.24,72.27,74.69,80.52
15.15,48.57,49.68,5.62
76.33,52.25,50.54,95.93
96.78,9.28,10.9,12.76
83.77,0.98,55.89,55.54
20.75,13.12,18.91,65.27
77.41,89.07,28.07,18.72
37.81,5.01,47.04,56.65
51.55,30.06,29.02,78.97
57.66,86.46,35.63,92.08
20.26,22.57,50.35,57.55
76.53,97.49,87.57,25.11
10.46,97.94,13.52,56.3
90.93,18.27,69.57,25.51
29.79,23.77,96.59,9.22
34.68,46.19,94.55,16.87
79.18,24.47,37.99,10.4
17.56,41.44,39.63,73.59
21.4,65.21,98.6,76.15
34.99,20.93,34.71,24.52
97.19,92.57,32.35,46.49
25.78,43.3,79.6,94.62
28.22,78.8,94.51,14.14
94.8,72.96,96.17,16.12
77.85,64.7,80.29,30.29
59.7,20.46,10.66,51.54
51.88,46.42,74.67,0.69
19.07,45.56,3.21,59.13
78.03,64.6,3.09,64.34
33.51,47.78,4.94,78.09
46.76,37.06,96.73,8.0
35.24,94.94,18.75,26.39
74.85,8.33,92.4,79.58
34.95,85.59,26.79,38.64
2.55,84.54,46.37,37.95
48.62,80.92,41.16,3.15
34.03,14.69,93.36,79.31
24.44,59.75,87.01,51.24
63.4,22.08,72.75,90.45
14.58,2.69,83.36,96.84
58.04,55.59,48.91,21.91
73.56,37.82,50.81,82.93
63.66,48.69,16.12,10.59
29.69,82.32,7.37,12.76
39.79,30.07,86.14,83.23
27.76,72.82,32.03,57.77
73.62,80.57,14.03,73.91
84.1,52.43,48.44,52.51
87.96,71.87,11.48,35.1
65.11,47.33,83.37,71.67
37.69,10.66,73.47,88.04
69.83,7.9,90.95,75.84
62.04,50.8,94.15,58.96
27.89,76.77,94.4,14.09
20.4,46.88,84.19,58.16
60.85,2.56,90.4,22.41
55.58,21.72,65.13,96.46
34.93,49.51,98.76,19.05
50.54,65.52,17.38,12.93
58.37,74.86,19.93,40.69
95.36,92.21,8.98,14.2
7.04,72.6,93.35,65.57
90.95,0.24,40.28,57.77
23.47,37.08,45.07,41.92
7.76,16.48,43.87,80.19
41.97,19.09,6.43,12.71
46.09,94.8,10.78,29.17
72.52,49.66,48.04,22.82
18.83,83.54,0.58,87.82
65.1,54.95,34.86,67.02
25.85,74.88,78.94,7.93
6.64,50.54,88.58,46.22
78.83,11.11,16.29,96.64
79.37,92.79,99.87,95.61
54.61,25.18,91.27,13.4
84.99,5.07,91.62,36.45
19.35,75.96,97.73,15.21
47.36,10.23,80.88,89.03
59.25,14.02,83.36,96.08
3.85,49.35,67.16,14.37
97.44,78.38,2.22,20.64
10.6,10.05,24.67,20.04
20.68,85.65,29.21,70.59
33.83,7.57,71.74,28.31
49.13,99.49,61.97,40.65
48.68,89.27,16.84,54.01
94.88,72.49,39.02,91.36
5.9,77.95,73.82,34.95
7.59,17.93,23.33,87.98
70.21,60.91,61.34,84.59
26.99,71.49,4.36,96.67
14.79,17.92,3.94,29.59
86.94,80.14,13.71,48.16
99.6,93.47,40.32,77.52
94.31,75.7,95.54,41.49
83.84,6.08,18.99,59.17
82.53,25.0,86.55,52.01
90.25,88.43,38.81,13.5
58.43,23.33,34.36,37.53
36.23,44.02,67.34,95.52
18.98,78.59,53.05,45.8
5.88,39.75,66.5,45.02
51.62,26.19,58.21,78.43
38.75,51.52,59.17,43.41
6.85,98.74,79.73,78.44
54.67,76.69,75.78,61.54
63.15,8.86,3.44,59.97
97.65,66.29,93.47,89.9
85.18,1.41,51.43,23.38
51.35,3.64,47.61,86.46
7.27,30.46,98.64,0.02
51.53,94.5,54.83,84.3
11.37,8.28,2.57,25.02
95.24,4.05,63.94,31.29
20.31,73.55,59.6,25.77
51.59,63.1,18.24,74.6
66.97,99.66,78.72,44.38
43.6,61.46,4.71,71.32
10.81,48.25,17.96,56.23
43.03,17.19,60.66,46.41
29.24,27.84,59.19,80.12
9.07,11.86,16.39,20.2
16.5,60.1,15.72,80.04
25.22,52.94,69.2,70.06
90.31,92.5,71.18,96.81
84.44,77.35,71.01,48.66
59.43,99.45,80.64,23.43
0.26,46.65,10.46,60.43
60.89,1.63,93.1,81.16
95.08,93.92,24.12,72.27
53.25,83.81,8.13,54.9
35.09,27.78,70.42,69.26
85.69,54.27,16.76,75.11
63.9,58.88,39.66,28.91
13.82,30.25,44.54,80.52
96.03,62.87,16.71,54.87
21.36,13.29,49.5,84.04
55.37,37.43,24.22,88.5
44.36,81.33,22.43,88.6
89.86,46.31,60.25,57.45
48.9,69.04,3.89,8.65
57.61,27.97,25.38,83.42
95.41,80.94,27.14,68.86
69.75,54.82,21.64,90.99
80.65,12.9,75.85,18.4
84.64,35.44,68.07,83.93
10.34,38.67,99.78,79.72
75.76,5.19,2.48,29.74
63.44,89.16,77.98,21.42
94.33,61.37,30.38,93.63
4.42,38.65,79.85,95.09
78.78,39.53,62.75,94.02
23.85,0.97,59.5,86.82
63.07,24.27,24.54,6.39
